uin_,nickname_,title_,vid_,duration_
163802,小茜,,ugc_bkv86sh,87
163802,小茜,,ugc_96azec,119
163802,小茜,,ugc_ebig0v,119
163802,小茜,,ugc_lwyoxa,61
163802,小茜,,ugc_byx2kn6,122
163802,小茜,,ugc_bcizmkf,148
163802,小茜,,ugc_bt3nbtt,120
163802,小茜,,ugc_wk007i,151
163802,小茜,,ugc_5duiut,72
163802,小茜,,ugc_bygjmyz,129
163802,小茜,,ugc_jg5kjk,109
163802,小茜,,ugc_mir8ay,105
163802,小茜,,ugc_ix2324,121
163802,小茜,,ugc_h1x7wi,127
163802,小茜,,ugc_bju7tue,115
163802,小茜,,ugc_brm3u3b,94
163802,小茜,,ugc_h78arm,111
163802,小茜,,ugc_7p6j4z,104
1319051,快乐每天,,ugc_bcpoxqw,35
1319051,快乐每天,,ugc_brgwgt0,52
1319051,快乐每天,,ugc_b64pkvt,15
1696273,江尚舟Zhyj,,ugc_bzjx00a,242
1696273,江尚舟Zhyj,,ugc_o5ffg4,253
1696273,江尚舟Zhyj,,ugc_0xy35y,101
1696273,江尚舟Zhyj,,ugc_pe0nnm,85
1696273,江尚舟Zhyj,,ugc_b70pn93,74
1696273,江尚舟Zhyj,,ugc_l1zoub,62
1696273,江尚舟Zhyj,,ugc_6i1o08,62
1696273,江尚舟Zhyj,,ugc_bnf2e0o,62
1863934,坚持到底,,ugc_b018ret,15
1863934,坚持到底,,ugc_sdm9zl,15
1863934,坚持到底,,ugc_pl47ao,15
1863934,坚持到底,,ugc_bepsd3q,15
2120809,可口可乐,,ugc_lexd5a,15
2317424,꧁꫞꯭相约꫞꧂,,ugc_buakhyx,2
2404422,娟子,一晃就老了,ugc_jf6ekq,13
2404422,娟子,爱家人，爱自己,ugc_p71qt5,21
2404422,娟子,,ugc_bewnk34,59
2404422,娟子,,ugc_pss8qr,52
2404422,娟子,,ugc_yg59hf,60
2404422,娟子,,ugc_b17i954,15
2404422,娟子,心态好，寿命长,ugc_mjortg,15
2404422,娟子,,ugc_bbour71,15
2404422,娟子,,ugc_9gkx56,57
2662941,鸟语花香,,ugc_blp6r4m,15
2662941,鸟语花香,远别盼重逢，音书久未通。;;相思藏梦里，回忆写诗中。;;月冷孤灯暗，花香遍地红。;;愿为弦上箭，穿越旧时空。,ugc_moj62y,169
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_bdp2a64,105
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_d6pqp3,62
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_m23fbx,83
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_6d7wr4,101
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_nhrl1j,122
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_nfbqzt,129
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_bc00kdw,129
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_b6rytxj,134
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_bu6wwnb,112
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_d8bzhz,95
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_bjplloy,131
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_bgsdefn,182
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_2hjhmv,151
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_bfiisdr,112
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_2ggt90,214
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_jcdhdd,94
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_bmva2qb,130
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_52n4u0,129
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_75v1th,93
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_larwtm,145
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_we8m29,132
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_i5861l,105
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_xyg07y,90
3235641,大师兄,搞笑视频  祝你笑口常开  好运常伴,ugc_b7s0d7h,118
